100
10
2
1
2
13
maximize
40 -160
100
-80 -100
0 0
10 1 1 2 1 2 2 1 1 2 1 1 2
10 0 0 1 0 1 1 0 0 1 0 0 1
1 0.8
0
0
107
0 31
0 35
0 41
0 74
0 75
1 16
2 90
2 98
4 26
4 44
4 81
4 90
5 27
5 97
6 77
7 83
8 72
9 55
9 73
9 88
10 15
10 28
10 76
11 99
12 37
12 99
13 24
13 71
14 58
15 52
15 63
16 62
17 92
18 34
18 61
18 68
19 28
19 56
19 84
19 85
20 76
20 94
21 40
22 63
22 67
26 40
27 33
27 43
27 83
28 77
29 88
30 68
31 62
32 60
33 92
33 99
34 66
34 89
34 92
35 76
36 59
36 72
36 92
37 58
38 45
39 42
40 49
40 56
40 58
40 65
40 68
41 65
41 66
41 75
42 80
44 76
44 84
45 82
47 59
47 68
47 80
47 90
48 62
50 64
50 71
51 54
51 64
51 72
53 94
53 95
60 62
62 97
63 96
64 95
65 80
66 84
66 86
68 80
69 88
71 82
74 81
74 99
77 83
80 83
81 99
83 84
83 88
20
86 8
54 9
57 0
19 8
13 7
58 7
55 3
7 2
38 6
36 2
74 7
0 8
23 6
75 1
94 8
14 9
94 4
53 1
97 6
98 9
10
4 0
21 1
46 2
51 3
65 4
80 5
82 6
86 7
88 8
94 9
