101
10
2
0
1
13
maximize
40 -160
-80
0
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
11 1 1 2 1 1 1 2 2 1 1 1 1
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
10 0 1 1 0 0 0 1 1 0 1 0 0
1
0
0
95
0 17
0 20
0 51
0 62
0 74
1 2
1 59
1 89
1 94
2 12
2 22
3 57
3 59
3 80
4 100
5 40
5 80
6 37
6 87
7 68
7 91
8 20
8 23
10 29
10 87
11 76
12 15
12 34
12 37
12 40
12 96
13 26
14 48
14 50
14 74
14 75
15 83
15 96
16 43
16 45
16 90
17 65
18 48
18 52
18 71
21 31
21 37
21 50
22 40
22 65
23 95
24 35
24 77
24 83
26 33
26 41
27 70
29 39
30 63
32 75
33 87
34 37
34 43
36 69
37 99
40 55
40 71
43 51
45 100
46 78
50 86
52 82
52 93
57 58
57 59
57 64
57 75
60 97
63 66
63 93
64 84
66 79
66 87
66 94
66 98
68 99
69 88
74 97
75 76
78 85
80 91
81 89
85 89
86 90
86 100
0
10
4 0
13 1
35 2
39 3
42 4
55 5
67 6
75 7
76 8
90 9
