15 8 22 6 23 
8 10 9 5 19 
11 7 13 24 18 
16 23 12 24 17 
24 20 22 24 25 
8 9 7 23 14 
19 7 10 8 15 
9 11 8 8 12 
15 21 15 6 11 
7 9 12 18 5 
6 16 15 20 25 
13 20 15 7 14 
10 9 12 8 8 
12 25 16 6 8 
25 10 7 7 16 
16 14 15 5 17 
21 20 17 21 11 
18 23 20 25 12 
21 23 16 5 8 
21 25 12 18 14 
22 13 21 7 10 
8 14 17 13 9 
18 7 10 11 20 
11 14 19 5 9 
12 9 16 23 9 
24 25 21 20 13 
15 18 23 15 21 
13 17 23 8 22 
17 10 6 21 10 
21 14 21 23 5 
24 21 24 15 15 
23 6 18 23 12 
23 15 8 20 6 
19 8 11 9 19 
20 10 8 6 10 
17 24 10 17 12 
13 17 22 23 16 
12 25 16 15 23 
9 15 5 19 11 
22 21 9 25 6 
13 20 5 17 14 
14 12 12 15 12 
25 15 18 17 14 
7 16 15 23 22 
9 7 16 5 5 
25 17 8 23 23 
20 12 22 7 9 
13 8 5 15 18 
21 21 5 17 7 
20 19 12 5 9 
25 14 17 13 17 
5 19 5 15 18 
11 7 18 9 22 
20 25 24 15 22 
10 16 12 21 8 
17 20 20 12 9 
5 17 13 19 18 
25 18 25 24 14 
11 21 17 19 16 
6 8 7 19 6 
14 11 9 13 12 
24 10 21 5 20 
17 19 23 9 15 
7 11 20 24 21 
16 16 5 15 23 
10 13 20 9 7 
15 11 13 18 18 
9 14 12 7 16 
15 16 9 10 20 
13 15 8 12 14 
23 17 6 19 22 
13 13 7 5 21 
12 7 8 25 13 
13 10 21 20 22 
5 5 5 23 18 
8 25 21 18 18 
15 7 17 10 14 
19 12 13 18 9 
7 18 9 22 10 
13 12 8 9 15 
21 16 17 20 18 
10 12 11 12 6 
12 16 17 6 7 
9 14 25 15 6 
11 8 12 23 20 
11 17 8 10 22 
23 8 11 16 25 
5 16 6 15 18 
18 11 8 22 25 
13 23 5 12 12 
19 22 23 7 17 
20 22 25 9 18 
24 23 18 7 25 
9 17 25 12 24 
22 16 18 9 14 
25 8 5 14 17 
21 18 12 22 22 
14 19 8 15 13 
19 10 7 22 11 
21 7 9 13 22 
36 12 34 10 39 
46 33 23 42 19 
34 26 36 25 24 
25 10 34 24 16 
29 32 21 16 50 
17 49 39 31 20 
15 46 48 11 39 
29 44 37 25 11 
38 41 34 21 26 
50 49 10 43 40 
39 41 44 41 18 
50 45 39 27 44 
37 43 41 38 37 
39 44 13 31 26 
25 24 45 36 13 
13 14 11 35 25 
11 17 35 14 16 
11 21 43 17 12 
32 32 35 18 39 
50 39 46 36 19 
23 25 27 25 31 
44 29 36 27 29 
15 28 19 44 34 
25 38 23 18 48 
42 38 21 24 42 
13 12 20 46 11 
41 17 46 43 32 
31 42 29 44 27 
16 22 29 21 39 
44 43 12 20 26 
49 31 40 11 47 
25 47 11 42 37 
31 15 14 20 39 
14 10 50 24 49 
45 40 25 33 37 
44 12 34 42 50 
36 39 32 41 33 
50 34 37 32 26 
49 28 28 50 12 
30 23 36 25 12 
15 35 35 47 26 
22 46 15 15 38 
31 48 25 38 22 
45 40 37 29 13 
40 29 30 32 11 
41 13 41 46 20 
22 38 28 25 40 
34 37 32 10 44 
13 14 48 42 25 
26 16 32 33 38 
14 30 40 27 29 
34 32 32 20 37 
31 20 40 11 11 
22 37 41 33 19 
47 48 17 41 39 
37 32 41 31 33 
42 48 34 11 27 
47 38 40 23 50 
42 41 19 49 33 
24 11 42 12 35 
32 49 36 20 40 
25 35 15 50 47 
41 43 50 39 47 
40 19 26 47 15 
35 10 49 45 23 
20 19 47 38 11 
43 45 20 50 38 
10 32 35 19 29 
29 28 39 45 36 
28 23 20 49 50 
30 23 10 33 39 
23 11 23 49 12 
20 23 42 25 47 
28 40 39 44 21 
26 14 14 32 50 
47 21 44 30 24 
46 44 44 42 29 
30 41 22 47 47 
18 25 34 25 35 
47 41 23 21 39 
17 40 26 45 25 
17 41 50 11 42 
40 42 26 13 35 
45 13 35 33 30 
43 45 15 17 19 
44 31 39 48 23 
48 43 46 19 22 
24 13 26 37 28 
48 20 48 27 16 
23 25 17 29 39 
38 30 47 17 10 
45 19 16 44 46 
27 10 44 34 37 
36 10 39 37 29 
20 43 50 19 18 
11 31 46 50 30 
26 35 21 43 16 
35 21 50 22 32 
27 31 50 27 30 
41 45 17 38 33 
